central,fecha,tipo_evento,duracion_horas,observacion
Eolica Cerro Negro,2024-07-19,evento_climatico,12,Evento por rafagas de viento sobre el limite operativo en la linea de evacuacion; se despeja el acceso tras la nevada y se revisa la torre.
Central Vega Escondida,2024-07-20,inspeccion,5,Evento por un hallazgo menor sin indisponibilidad en el informe de termografia; se registra la medicion en la ficha de la unidad.
Diesel Respaldo Cordillera,2024-07-20,correctivo,58,La cuadrilla interviene en terreno y devuelve la unidad al despacho tras detectar una reparacion mayor pendiente en el repuesto critico de bodega.
Eolica Cerro Negro,2024-07-21,preventivo,7,Evento por las horas de operacion acumuladas en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Cerro Dorado,2024-07-21,inspeccion,4,Evento por una lectura dentro de tolerancia en el parametro fuera de tolerancia; se documenta el hallazgo y se emite el informe correspondiente.
Parque Solar Pampa Alta,2024-07-22,falla_electrica,14,Evento por el disparo de la proteccion diferencial en el aislador de linea; se reconecta el interruptor tras verificar la aislacion.
Termoelectrica Costa Brava,2024-07-22,evento_climatico,5,El operador reporta acumulacion de hielo en las palas; se revisa el aerogenerador del sector norte y se detiene la unidad por viento y se espera mejor tiempo.
Termoelectrica Costa Brava,2024-07-22,falla_mecanica,36,Se detecta temperatura elevada en el descanso en la bomba de lubricacion; se purga el circuito de lubricacion y se ajusta el torque.
Central Vega Escondida,2024-07-23,preventivo,9,Evento por las horas de operacion acumuladas en el circuito de aceite; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Pampa Alta,2024-07-23,correctivo,9,Se detecta indisponibilidad forzada de la unidad en el conjunto reparado en terreno; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Central Rio Manso Alto,2024-07-24,correctivo,65,Evento por la espera de un repuesto importado en el repuesto critico de bodega; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Vientos del Sur,2024-07-25,evento_climatico,17,Evento por acumulacion de hielo en las palas en el aerogenerador del sector norte; se detiene la unidad por viento y se espera mejor tiempo.
Termoelectrica Costa Brava,2024-07-25,falla_electrica,22,Corriente de fuga elevada en la barra de media tension. Se reconecta el interruptor tras verificar la aislacion.
Central Lago Ventisquero,2024-07-26,inspeccion,6,Evento por una desviacion leve del parametro medido en la endoscopia del ducto; se levanta la observacion y se programa el seguimiento.
Diesel Respaldo Cordillera,2024-07-26,correctivo,26,El operador reporta indisponibilidad forzada de la unidad; se revisa el modulo reemplazado y se repara el conjunto y se realiza la puesta en marcha.
Termoelectrica Costa Brava,2024-07-26,correctivo,22,El operador reporta una reparacion mayor pendiente; se revisa el equipo intervenido en taller y la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Cerro Negro,2024-07-27,evento_climatico,30,Se inspecciona la estructura despues del frente de mal tiempo tras detectar granizo sobre la estructura en la torre de medicion de viento.
Parque Solar Pampa Alta,2024-07-27,falla_mecanica,13,Se registra perdida de presion de aceite en la caja multiplicadora durante la ronda del turno.
Termoelectrica Bahia Norte,2024-07-27,preventivo,24,Se detecta el cumplimiento del programa de mantenimiento en la pauta de rutina trimestral; se ajusta el torque de los pernos y se limpia el tablero.
Central Vega Escondida,2024-07-28,correctivo,41,Se completa la reparacion dentro del plazo comprometido tras detectar indisponibilidad forzada de la unidad en el equipo intervenido en taller.
Eolica Cerro Negro,2024-07-28,correctivo,71,El operador reporta indisponibilidad forzada de la unidad; se revisa la cuadrilla de intervencion y se repara el conjunto y se realiza la puesta en marcha.
Eolica Punta Ventosa,2024-07-28,evento_climatico,20,El operador reporta granizo sobre la estructura; se revisa la estructura del parque y se despeja el acceso tras la nevada y se revisa la torre.
Eolica Punta Ventosa,2024-07-28,falla_mecanica,56,Se cambia el sello y se verifica la estanqueidad tras detectar temperatura elevada en el descanso en el acoplamiento del generador.
Central Lago Ventisquero,2024-07-29,falla_electrica,20,Se reemplaza el rele y se recalibra la proteccion tras detectar corriente de fuga elevada en el rele de proteccion.
Eolica Cerro Negro,2024-07-29,falla_mecanica,61,Vibracion excesiva en el eje en la turbina de baja presion. Se equilibra el rotor y se repite la medicion de vibracion.
Termoelectrica Puerto Nuevo,2024-07-29,correctivo,51,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar la espera de un repuesto importado en la cuadrilla de intervencion.
Central Quebrada Azul,2024-07-30,falla_mecanica,90,El operador reporta vibracion excesiva en el eje; se revisa la bomba de lubricacion y se equilibra el rotor y se repite la medicion de vibracion.
Eolica Vientos del Sur,2024-07-30,evento_climatico,10,Se despeja el acceso tras la nevada y se revisa la torre tras detectar rafagas de viento sobre el limite operativo en el anemometro de la gondola.
Termoelectrica Peninsula Gris,2024-07-30,falla_mecanica,11,Evento por temperatura elevada en el descanso en el rodamiento del eje principal; se reemplaza el rodamiento y se realinea el eje.
Central Lago Ventisquero,2024-07-31,correctivo,45,Se detecta una reparacion mayor pendiente en el repuesto critico de bodega; se completa la reparacion dentro del plazo comprometido.
Eolica Loma Larga,2024-07-31,inspeccion,1,Durante el turno: una desviacion leve del parametro medido en el checklist del recorrido; se documenta el hallazgo y se emite el informe correspondiente.
Eolica Punta Ventosa,2024-07-31,falla_mecanica,46,El operador reporta perdida de presion de aceite; se revisa el acoplamiento del generador y se reemplaza el rodamiento y se realinea el eje.
Eolica Punta Ventosa,2024-07-31,evento_climatico,25,El operador reporta nevada intensa en el acceso; se revisa la linea de evacuacion y se despeja el acceso tras la nevada y se revisa la torre.
Eolica Punta Ventosa,2024-07-31,falla_mecanica,70,Evento por perdida de presion de aceite en el rodamiento del eje principal; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Pampa Alta,2024-07-31,evento_climatico,13,Una tormenta electrica en la zona en la torre de medicion de viento. Se detiene la unidad por viento y se espera mejor tiempo.
Parque Solar Pampa Alta,2024-07-31,falla_mecanica,26,Se registra temperatura elevada en el descanso en el rodamiento del eje principal durante la ronda del turno.
Termoelectrica Puerto Nuevo,2024-07-31,inspeccion,3,Se registra un hallazgo menor sin indisponibilidad en el parametro fuera de tolerancia durante la ronda del turno.
Central Salto del Pehuen,2024-08-01,preventivo,12,Se detecta las horas de operacion acumuladas en el plan anual de la unidad; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Vientos del Sur,2024-08-01,correctivo,53,El operador reporta la espera de un repuesto importado; se revisa el conjunto reparado en terreno y se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Llano Blanco,2024-08-02,inspeccion,7,Una lectura dentro de tolerancia en el informe de termografia. Se documenta el hallazgo y se emite el informe correspondiente.
Parque Solar Pampa Alta,2024-08-03,preventivo,22,El ciclo de limpieza programado en la pauta de rutina trimestral. Se ajusta el torque de los pernos y se limpia el tablero.
Eolica Punta Ventosa,2024-08-04,inspeccion,5,El operador reporta una desviacion leve del parametro medido; se revisa el registro fotografico de la unidad y se completa el checklist sin desviaciones relevantes.
Central Quebrada Azul,2024-08-05,correctivo,51,El operador reporta reincidencia de la falla anterior; se revisa el repuesto critico de bodega y se repara el conjunto y se realiza la puesta en marcha.
Diesel Respaldo Cordillera,2024-08-05,preventivo,15,Se detecta el vencimiento de la pauta periodica en el tablero de control; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Punta Ventosa,2024-08-06,evento_climatico,28,Evento por rafagas de viento sobre el limite operativo en la estructura del parque; se inspecciona la estructura despues del frente de mal tiempo.
Eolica Punta Ventosa,2024-08-06,falla_mecanica,18,Se equilibra el rotor y se repite la medicion de vibracion tras detectar desgaste anormal del rodamiento en la caja multiplicadora.
Eolica Vientos del Sur,2024-08-06,falla_mecanica,24,Se purga el circuito de lubricacion y se ajusta el torque tras detectar fatiga del material en el alabe en el sistema de refrigeracion.
Eolica Loma Larga,2024-08-09,evento_climatico,22,Evento por rafagas de viento sobre el limite operativo en el sistema de orientacion; se inspecciona la estructura despues del frente de mal tiempo.
Termoelectrica Valle Central,2024-08-09,falla_electrica,13,El operador reporta una caida brusca de tension; se revisa el rele de proteccion y se aisla el circuito y se normaliza la tension.
Central Rio Manso Alto,2024-08-11,preventivo,10,Las horas de operacion acumuladas en el plan anual de la unidad. Se repone la disponibilidad de la unidad dentro del plazo.
Eolica Loma Larga,2024-08-11,inspeccion,1,Se documenta el hallazgo y se emite el informe correspondiente tras detectar una desviacion leve del parametro medido en el checklist del recorrido.
Eolica Vientos del Sur,2024-08-12,inspeccion,2,Se registra la medicion en la ficha de la unidad tras detectar una desviacion leve del parametro medido en el registro fotografico de la unidad.
Central Lago Ventisquero,2024-08-16,correctivo,70,Reincidencia de la falla anterior en la cuadrilla de intervencion. Se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Cerro Negro,2024-08-17,evento_climatico,15,Se detecta una tormenta electrica en la zona en la linea de evacuacion; se detiene la unidad por viento y se espera mejor tiempo.
Termoelectrica Puerto Nuevo,2024-08-17,correctivo,28,Se registra una reparacion mayor pendiente en el repuesto critico de bodega durante la ronda del turno.
Eolica Cerro Negro,2024-08-18,evento_climatico,9,Evento por lluvia y humedad extrema en la torre de medicion de viento; se detiene la unidad por viento y se espera mejor tiempo.
Eolica Cerro Negro,2024-08-18,falla_mecanica,47,Desalineamiento del acoplamiento en el acoplamiento del generador. Se reemplaza el rodamiento y se realinea el eje.
Parque Solar Llano Blanco,2024-08-18,falla_electrica,22,Durante el turno: un cortocircuito monofasico en el rele de proteccion; se reemplaza el rele y se recalibra la proteccion.
Eolica Loma Larga,2024-08-19,evento_climatico,4,Se registra granizo sobre la estructura en el anemometro de la gondola durante la ronda del turno.
Eolica Loma Larga,2024-08-19,falla_mecanica,77,Vibracion excesiva en el eje en la turbina de baja presion. Se reemplaza el rodamiento y se realinea el eje.
Parque Solar Salar Nuevo,2024-08-19,evento_climatico,34,Se registra acumulacion de hielo en las palas en el sistema de orientacion durante la ronda del turno.
Parque Solar Salar Nuevo,2024-08-19,falla_mecanica,23,Se registra desgaste anormal del rodamiento en la bomba de lubricacion durante la ronda del turno.
Termoelectrica Costa Brava,2024-08-19,correctivo,43,Durante el turno: reincidencia de la falla anterior en el modulo reemplazado; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Parque Solar Llano Blanco,2024-08-20,correctivo,8,Se registra la espera de un repuesto importado en el modulo reemplazado durante la ronda del turno.
Central Salto del Pehuen,2024-08-21,correctivo,16,Evento por la espera de un repuesto importado en el repuesto critico de bodega; se repara el conjunto y se realiza la puesta en marcha.
Central Quebrada Azul,2024-08-22,correctivo,30,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar reincidencia de la falla anterior en el conjunto reparado en terreno.
Termoelectrica Valle Central,2024-08-22,inspeccion,5,Un hallazgo menor sin indisponibilidad en el informe de termografia. Se levanta la observacion y se programa el seguimiento.
Eolica Vientos del Sur,2024-08-23,preventivo,18,Evento por el ciclo de limpieza programado en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Parque Solar Salar Nuevo,2024-08-23,falla_electrica,14,Un arco electrico en el borne en el interruptor principal. Se reemplaza el rele y se recalibra la proteccion.
Parque Solar Llano Blanco,2024-08-24,preventivo,19,Evento por las horas de operacion acumuladas en la pauta de rutina trimestral; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Loma Larga,2024-08-25,evento_climatico,36,Se detecta lluvia y humedad extrema en el sistema de orientacion; se inspecciona la estructura despues del frente de mal tiempo.
Parque Solar Salar Nuevo,2024-08-26,correctivo,22,Se registra una reparacion mayor pendiente en la cuadrilla de intervencion durante la ronda del turno.
Termoelectrica Bahia Norte,2024-08-26,falla_mecanica,81,Durante el turno: desalineamiento del acoplamiento en el acoplamiento del generador; se purga el circuito de lubricacion y se ajusta el torque.
Central Vega Escondida,2024-08-27,correctivo,40,El operador reporta reincidencia de la falla anterior; se revisa el equipo intervenido en taller y se completa la reparacion dentro del plazo comprometido.
Termoelectrica Valle Central,2024-08-27,falla_mecanica,66,El operador reporta fatiga del material en el alabe; se revisa el alabe del rotor y se reemplaza el rodamiento y se realinea el eje.
Central Vega Escondida,2024-08-29,evento_climatico,15,Se detecta lluvia y humedad extrema en el aerogenerador del sector norte; se despeja el acceso tras la nevada y se revisa la torre.
Central Vega Escondida,2024-08-29,falla_mecanica,12,Se cambia el sello y se verifica la estanqueidad tras detectar perdida de presion de aceite en el acoplamiento del generador.
Eolica Punta Ventosa,2024-08-30,correctivo,33,El operador reporta una reparacion mayor pendiente; se revisa la unidad fuera de servicio y la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Parque Solar Media Luna,2024-08-30,preventivo,5,Durante el turno: el ciclo de limpieza programado en el circuito de aceite; se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Costa Brava,2024-08-30,correctivo,6,Se registra una reparacion mayor pendiente en el repuesto critico de bodega durante la ronda del turno.
Termoelectrica Puerto Nuevo,2024-08-30,falla_mecanica,16,Evento por desgaste anormal del rodamiento en el alabe del rotor; se equilibra el rotor y se repite la medicion de vibracion.
Termoelectrica Puerto Nuevo,2024-08-31,correctivo,62,Evento por indisponibilidad forzada de la unidad en la unidad fuera de servicio; se repara el conjunto y se realiza la puesta en marcha.
Eolica Cerro Negro,2024-09-01,inspeccion,5,Evento por un hallazgo menor sin indisponibilidad en la endoscopia del ducto; se completa el checklist sin desviaciones relevantes.
Parque Solar Media Luna,2024-09-01,preventivo,16,El cumplimiento del programa de mantenimiento en el circuito de aceite. Se ajusta el torque de los pernos y se limpia el tablero.
Diesel Respaldo Cordillera,2024-09-02,preventivo,21,Se ejecuta la rutina programada y se actualiza el calendario tras detectar las horas de operacion acumuladas en el tablero de control.
Eolica Loma Larga,2024-09-03,falla_mecanica,44,Evento por desgaste anormal del rodamiento en el acoplamiento del generador; se equilibra el rotor y se repite la medicion de vibracion.
Parque Solar Media Luna,2024-09-03,inspeccion,8,El operador reporta una observacion levantada en auditoria; se revisa el registro fotografico de la unidad y se levanta la observacion y se programa el seguimiento.
Parque Solar Media Luna,2024-09-03,inspeccion,5,Se registra la medicion en la ficha de la unidad tras detectar una desviacion leve del parametro medido en la medicion de espesores.
Central Salto del Pehuen,2024-09-04,falla_electrica,23,El operador reporta corriente de fuga elevada; se revisa el aislador de linea y se energiza la barra en forma escalonada.
Eolica Vientos del Sur,2024-09-04,inspeccion,5,Durante el turno: una desviacion leve del parametro medido en el checklist del recorrido; se levanta la observacion y se programa el seguimiento.
Termoelectrica Bahia Norte,2024-09-04,correctivo,42,Una reparacion mayor pendiente en el equipo intervenido en taller. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Cerro Negro,2024-09-05,correctivo,8,Durante el turno: reincidencia de la falla anterior en el equipo intervenido en taller; se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Pampa Alta,2024-09-05,preventivo,23,Se registra el ciclo de limpieza programado en el circuito de aceite durante la ronda del turno.
Termoelectrica Bahia Norte,2024-09-06,falla_electrica,38,Se registra sobretension sostenida en el banco de condensadores durante la ronda del turno.
Diesel Respaldo Cordillera,2024-09-07,falla_electrica,21,Durante el turno: sobretension sostenida en el banco de condensadores; se reemplaza el rele y se recalibra la proteccion.
Parque Solar Salar Nuevo,2024-09-08,preventivo,22,Evento por las horas de operacion acumuladas en la pauta de rutina trimestral; se ajusta el torque de los pernos y se limpia el tablero.
Central Rio Manso Alto,2024-09-11,preventivo,16,Evento por las horas de operacion acumuladas en el filtro de admision; se cambia el aceite y el filtro segun la pauta del fabricante.
Central Quebrada Azul,2024-09-13,preventivo,15,El operador reporta el cumplimiento del programa de mantenimiento; se revisa el plan anual de la unidad y se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Pampa Alta,2024-09-17,falla_electrica,29,Durante el turno: una caida brusca de tension en el interruptor principal; se aisla el circuito y se normaliza la tension.
Central Lago Ventisquero,2024-09-19,inspeccion,6,Una lectura dentro de tolerancia en el registro fotografico de la unidad. Se completa el checklist sin desviaciones relevantes.
Central Quebrada Azul,2024-09-19,preventivo,23,El operador reporta las horas de operacion acumuladas; se revisa el plan anual de la unidad y se ajusta el torque de los pernos y se limpia el tablero.
Central Rio Manso Alto,2024-09-19,preventivo,14,Se registra el ciclo de limpieza programado en el calendario de disponibilidad durante la ronda del turno.
Central Vega Escondida,2024-09-19,preventivo,8,Durante el turno: las horas de operacion acumuladas en la pauta de rutina trimestral; se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Pampa Alta,2024-09-19,correctivo,18,Reincidencia de la falla anterior en la unidad fuera de servicio. Se instala el repuesto y se ejecutan las pruebas de normalizacion.
Diesel Respaldo Cordillera,2024-09-21,preventivo,21,Se cambia el aceite y el filtro segun la pauta del fabricante tras detectar el cumplimiento del programa de mantenimiento en el calendario de disponibilidad.
Parque Solar Llano Blanco,2024-09-21,preventivo,19,Se ajusta el torque de los pernos y se limpia el tablero tras detectar el ciclo de limpieza programado en la pauta de rutina trimestral.
Central Vega Escondida,2024-09-22,falla_mecanica,93,El operador reporta desgaste anormal del rodamiento; se revisa el alabe del rotor y se cambia el sello y se verifica la estanqueidad.
Eolica Loma Larga,2024-09-23,inspeccion,3,Se registra un hallazgo menor sin indisponibilidad en el informe de termografia durante la ronda del turno.
Parque Solar Pampa Alta,2024-09-23,inspeccion,3,Evento por una observacion levantada en auditoria en el informe de termografia; se documenta el hallazgo y se emite el informe correspondiente.
Central Vega Escondida,2024-09-24,falla_electrica,7,El operador reporta un arco electrico en el borne; se revisa el alimentador de la subestacion y se reconecta el interruptor tras verificar la aislacion.
Central Vega Escondida,2024-09-24,correctivo,28,Durante el turno: la espera de un repuesto importado en la cuadrilla de intervencion; se repara el conjunto y se realiza la puesta en marcha.
Central Lago Ventisquero,2024-09-25,falla_electrica,9,Se detecta un cortocircuito monofasico en el pararrayos del patio; se aisla el circuito y se normaliza la tension.
Parque Solar Pampa Alta,2024-09-26,inspeccion,7,El operador reporta una observacion levantada en auditoria; se revisa la medicion de espesores y se registra la medicion en la ficha de la unidad.
Parque Solar Salar Nuevo,2024-09-26,preventivo,14,Se ejecuta la rutina programada y se actualiza el calendario tras detectar el cumplimiento del programa de mantenimiento en el tablero de control.
Eolica Cerro Negro,2024-09-28,evento_climatico,5,Se registra rafagas de viento sobre el limite operativo en el anemometro de la gondola durante la ronda del turno.
Eolica Cerro Negro,2024-09-28,falla_mecanica,60,Se registra fatiga del material en el alabe en el rodamiento del eje principal durante la ronda del turno.
Termoelectrica Costa Brava,2024-09-28,falla_electrica,3,El operador reporta sobretension sostenida; se revisa el aislador de linea y se energiza la barra en forma escalonada.
Central Salto del Pehuen,2024-09-29,falla_mecanica,30,Durante el turno: desgaste anormal del rodamiento en el sello mecanico; se reemplaza el rodamiento y se realinea el eje.
Central Vega Escondida,2024-09-30,preventivo,14,Se ajusta el torque de los pernos y se limpia el tablero tras detectar el vencimiento de la pauta periodica en el tablero de control.
Termoelectrica Costa Brava,2024-09-30,correctivo,46,El operador reporta la espera de un repuesto importado; se revisa el repuesto critico de bodega y se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Vientos del Sur,2024-10-01,inspeccion,8,Se completa el checklist sin desviaciones relevantes tras detectar una desviacion leve del parametro medido en la endoscopia del ducto.
Central Rio Manso Alto,2024-10-03,falla_electrica,29,Evento por corriente de fuga elevada en la barra de media tension; se aisla el circuito y se normaliza la tension.
Central Salto del Pehuen,2024-10-03,falla_electrica,31,Se registra una caida brusca de tension en el transformador de poder durante la ronda del turno.
Central Salto del Pehuen,2024-10-03,correctivo,28,Una reparacion mayor pendiente en la unidad fuera de servicio. Se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Cerro Dorado,2024-10-03,falla_electrica,42,Durante el turno: un arco electrico en el borne en el alimentador de la subestacion; se reconecta el interruptor tras verificar la aislacion.
Parque Solar Cerro Dorado,2024-10-03,correctivo,68,Reincidencia de la falla anterior en el equipo intervenido en taller. Se repara el conjunto y se realiza la puesta en marcha.
Termoelectrica Puerto Nuevo,2024-10-03,correctivo,28,La cuadrilla interviene en terreno y devuelve la unidad al despacho tras detectar reincidencia de la falla anterior en el modulo reemplazado.
Eolica Loma Larga,2024-10-04,evento_climatico,13,El operador reporta granizo sobre la estructura; se revisa el anemometro de la gondola y se descongelan las palas antes de reanudar la operacion.
Eolica Loma Larga,2024-10-04,falla_mecanica,25,Evento por desgaste anormal del rodamiento en el sello mecanico; se purga el circuito de lubricacion y se ajusta el torque.
Eolica Punta Ventosa,2024-10-04,evento_climatico,35,Se despeja el acceso tras la nevada y se revisa la torre tras detectar rafagas de viento sobre el limite operativo en el anemometro de la gondola.
Central Rio Manso Alto,2024-10-05,correctivo,60,Indisponibilidad forzada de la unidad en el equipo intervenido en taller. Se completa la reparacion dentro del plazo comprometido.
Eolica Cerro Negro,2024-10-05,preventivo,21,Se detecta el vencimiento de la pauta periodica en el tablero de control; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Cerro Negro,2024-10-06,falla_mecanica,70,Se detecta desalineamiento del acoplamiento en el alabe del rotor; se cambia el sello y se verifica la estanqueidad.
Central Rio Manso Alto,2024-10-09,evento_climatico,31,Se detecta acumulacion de hielo en las palas en el anemometro de la gondola; se despeja el acceso tras la nevada y se revisa la torre.
Central Rio Manso Alto,2024-10-09,falla_mecanica,41,Se registra desalineamiento del acoplamiento en el alabe del rotor durante la ronda del turno.
Central Salto del Pehuen,2024-10-09,correctivo,35,Se registra la espera de un repuesto importado en el conjunto reparado en terreno durante la ronda del turno.
Parque Solar Salar Nuevo,2024-10-09,correctivo,49,La espera de un repuesto importado en el modulo reemplazado. Se instala el repuesto y se ejecutan las pruebas de normalizacion.
Termoelectrica Costa Brava,2024-10-09,preventivo,5,Evento por las horas de operacion acumuladas en el circuito de aceite; se repone la disponibilidad de la unidad dentro del plazo.
Central Lago Ventisquero,2024-10-10,preventivo,15,Durante el turno: el ciclo de limpieza programado en el plan anual de la unidad; se ajusta el torque de los pernos y se limpia el tablero.
Termoelectrica Puerto Nuevo,2024-10-10,inspeccion,5,Se registra la medicion en la ficha de la unidad tras detectar una desviacion leve del parametro medido en la endoscopia del ducto.
Diesel Respaldo Cordillera,2024-10-12,preventivo,13,El operador reporta las horas de operacion acumuladas; se revisa el circuito de aceite y se ejecuta la rutina programada y se actualiza el calendario.
Parque Solar Llano Blanco,2024-10-13,falla_electrica,7,El operador reporta el disparo de la proteccion diferencial; se revisa el interruptor principal y se energiza la barra en forma escalonada.
Parque Solar Salar Nuevo,2024-10-13,inspeccion,1,Durante el turno: una lectura dentro de tolerancia en la endoscopia del ducto; se documenta el hallazgo y se emite el informe correspondiente.
Central Quebrada Azul,2024-10-14,preventivo,8,Se detecta el vencimiento de la pauta periodica en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Central Rio Manso Alto,2024-10-14,inspeccion,2,El operador reporta una desviacion leve del parametro medido; se revisa el registro fotografico de la unidad y se documenta el hallazgo y se emite el informe correspondiente.
Parque Solar Llano Blanco,2024-10-14,correctivo,63,Se completa la reparacion dentro del plazo comprometido tras detectar la espera de un repuesto importado en el modulo reemplazado.
Central Rio Manso Alto,2024-10-15,inspeccion,8,Durante el turno: una lectura dentro de tolerancia en el informe de termografia; se registra la medicion en la ficha de la unidad.
Central Quebrada Azul,2024-10-17,inspeccion,7,Una desviacion leve del parametro medido en el parametro fuera de tolerancia. Se registra la medicion en la ficha de la unidad.
Parque Solar Media Luna,2024-10-18,falla_mecanica,10,Desalineamiento del acoplamiento en la bomba de lubricacion. Se reemplaza el rodamiento y se realinea el eje.
Eolica Loma Larga,2024-10-20,falla_mecanica,95,Se equilibra el rotor y se repite la medicion de vibracion tras detectar temperatura elevada en el descanso en el rodamiento del eje principal.
Termoelectrica Bahia Norte,2024-10-20,correctivo,60,Se detecta reincidencia de la falla anterior en el repuesto critico de bodega; se completa la reparacion dentro del plazo comprometido.
Eolica Vientos del Sur,2024-10-21,inspeccion,4,Se levanta la observacion y se programa el seguimiento tras detectar una desviacion leve del parametro medido en el parametro fuera de tolerancia.
Eolica Vientos del Sur,2024-10-21,preventivo,18,Evento por el cumplimiento del programa de mantenimiento en la pauta de rutina trimestral; se repone la disponibilidad de la unidad dentro del plazo.
Parque Solar Media Luna,2024-10-21,inspeccion,8,Se completa el checklist sin desviaciones relevantes tras detectar una desviacion leve del parametro medido en la medicion de espesores.
Termoelectrica Bahia Norte,2024-10-21,preventivo,21,Evento por el ciclo de limpieza programado en la pauta de rutina trimestral; se ejecuta la rutina programada y se actualiza el calendario.
Parque Solar Salar Nuevo,2024-10-22,preventivo,17,Las horas de operacion acumuladas en el tablero de control. Se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Costa Brava,2024-10-22,inspeccion,8,El operador reporta una observacion levantada en auditoria; se revisa la endoscopia del ducto y se documenta el hallazgo y se emite el informe correspondiente.
Eolica Punta Ventosa,2024-10-23,preventivo,15,El vencimiento de la pauta periodica en el plan anual de la unidad. Se repone la disponibilidad de la unidad dentro del plazo.
Central Salto del Pehuen,2024-10-25,evento_climatico,18,Se detecta acumulacion de hielo en las palas en el sistema de orientacion; se inspecciona la estructura despues del frente de mal tiempo.
Central Salto del Pehuen,2024-10-25,falla_mecanica,87,Evento por vibracion excesiva en el eje en la turbina de baja presion; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Cerro Dorado,2024-10-25,inspeccion,1,El operador reporta una desviacion leve del parametro medido; se revisa el registro fotografico de la unidad y se completa el checklist sin desviaciones relevantes.
Termoelectrica Puerto Nuevo,2024-10-25,correctivo,72,Se completa la reparacion dentro del plazo comprometido tras detectar la espera de un repuesto importado en la unidad fuera de servicio.
Parque Solar Llano Blanco,2024-10-27,falla_electrica,38,Durante el turno: el disparo de la proteccion diferencial en el pararrayos del patio; se reconecta el interruptor tras verificar la aislacion.
Central Rio Manso Alto,2024-10-29,inspeccion,8,Se detecta un hallazgo menor sin indisponibilidad en el registro fotografico de la unidad; se levanta la observacion y se programa el seguimiento.
Eolica Cerro Negro,2024-10-29,inspeccion,8,Una lectura dentro de tolerancia en la endoscopia del ducto. Se registra la medicion en la ficha de la unidad.
Parque Solar Llano Blanco,2024-10-29,correctivo,22,El operador reporta indisponibilidad forzada de la unidad; se revisa el modulo reemplazado y se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Pampa Alta,2024-10-29,preventivo,19,Se ejecuta la rutina programada y se actualiza el calendario tras detectar el ciclo de limpieza programado en el filtro de admision.
Central Lago Ventisquero,2024-10-30,inspeccion,5,Una observacion levantada en auditoria en el informe de termografia. Se completa el checklist sin desviaciones relevantes.
Termoelectrica Puerto Nuevo,2024-10-30,preventivo,5,El operador reporta el cumplimiento del programa de mantenimiento; se revisa el circuito de aceite y se repone la disponibilidad de la unidad dentro del plazo.
Termoelectrica Peninsula Gris,2024-11-01,preventivo,7,El operador reporta el ciclo de limpieza programado; se revisa el circuito de aceite y se ajusta el torque de los pernos y se limpia el tablero.
Eolica Loma Larga,2024-11-02,evento_climatico,18,Lluvia y humedad extrema en el aerogenerador del sector norte. Se despeja el acceso tras la nevada y se revisa la torre.
Eolica Loma Larga,2024-11-02,falla_mecanica,84,El operador reporta temperatura elevada en el descanso; se revisa la bomba de lubricacion y se cambia el sello y se verifica la estanqueidad.
Parque Solar Salar Nuevo,2024-11-02,preventivo,15,Se repone la disponibilidad de la unidad dentro del plazo tras detectar el vencimiento de la pauta periodica en el filtro de admision.
Parque Solar Llano Blanco,2024-11-04,inspeccion,5,Durante el turno: un hallazgo menor sin indisponibilidad en la endoscopia del ducto; se documenta el hallazgo y se emite el informe correspondiente.
Eolica Cerro Negro,2024-11-05,correctivo,14,La espera de un repuesto importado en el conjunto reparado en terreno. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Parque Solar Llano Blanco,2024-11-05,evento_climatico,29,Durante el turno: granizo sobre la estructura en el anemometro de la gondola; se descongelan las palas antes de reanudar la operacion.
